0,1,2,3,4,5,6,7,8,9,10
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
pip fruit,shopping bags,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
citrus fruit,frozen meals,,,,,,,,,
berries,baking powder,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
mayonnaise,instant coffee,,,,,,,,,
sausage,newspapers,,,,,,,,,
napkins,waffles,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
root vegetables,white bread,,,,,,,,,
yogurt,pasta,bottled water,,,,,,,,
bottled beer,root vegetables,hygiene articles,,,,,,,,
tropical fruit,soda,,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
yogurt,whole milk,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
brown bread,coffee,,,,,,,,,
butter milk,berries,,,,,,,,,
citrus fruit,beverages,,,,,,,,,
canned beer,misc. beverages,long life bakery product,,,,,,,,
tropical fruit,curd,chocolate,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
curd,newspapers,,,,,,,,,
misc. beverages,red/blush wine,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
UHT-milk,hard cheese,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
whole milk,brown bread,pastry,dessert,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
butter milk,semi-finished bread,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ham,soft cheese,fruit/vegetable juice,sugar,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
frankfurter,citrus fruit,other vegetables,condensed milk,,,,,,,
berries,canned fish,waffles,,,,,,,,
pip fruit,rolls/buns,whole milk,,,,,,,,
yogurt,detergent,,,,,,,,,
frankfurter,citrus fruit,margarine,,,,,,,,
chewing gum,yogurt,,,,,,,,,
specialty chocolate,yogurt,hard cheese,pastry,,,,,,,
frozen meals,whole milk,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
cat food,soda,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
white bread,specialty chocolate,,,,,,,,,
rolls/buns,margarine,,,,,,,,,
red/blush wine,frozen meals,canned fruit,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
tidbits,berries,,,,,,,,,
whole milk,frozen potato products,fruit/vegetable juice,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
citrus fruit,ham,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
coffee,berries,grapes,cream cheese ,cat food,,,,,,
citrus fruit,flour,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
berries,frankfurter,beef,brown bread,,,,,,,
pork,yogurt,,,,,,,,,
sausage,whole milk,whipped/sour cream,domestic eggs,,,,,,,
sausage,pork,pip fruit,soda,beef,fruit/vegetable juice,root vegetables,berries,misc. beverages,,
chicken,long life bakery product,,,,,,,,,
bottled beer,tropical fruit,red/blush wine,baking powder,,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
frankfurter,dessert,,,,,,,,,
white wine,photo/film,whipped/sour cream,,,,,,,,
sausage,canned beer,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
ham,whole milk,brown bread,,,,,,,,
grapes,grapes,,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
preservation products,soups,,,,,,,,,
potato products,oil,,,,,,,,,
pip fruit,hard cheese,bottled water,,,,,,,,
whole milk,sliced cheese,shopping bags,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
pickled vegetables,other vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,yogurt,napkins,,,,,,,,
sausage,frankfurter,citrus fruit,bottled beer,soda,butter,oil,,,,
roll products ,waffles,,,,,,,,,
soda,bottled beer,,,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,pastry,,,,,,,,,
bottled water,shopping bags,bottled water,,,,,,,,
frankfurter,sausage,,,,,,,,,
citrus fruit,flour,,,,,,,,,
root vegetables,candy,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
bottled beer,candy,,,,,,,,,
meat,cling film/bags,whipped/sour cream,,,,,,,,
citrus fruit,beef,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
tidbits,other vegetables,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
dessert,margarine,,,,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
brown bread,whole milk,frozen vegetables,frozen meals,,,,,,,
chicken,dessert,,,,,,,,,
cling film/bags,ham,,,,,,,,,
rolls/buns,berries,canned vegetables,dessert,,,,,,,
sausage,bottled beer,,,,,,,,,
whole milk,processed cheese,pastry,,,,,,,,
yogurt,other vegetables,,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,pasta,,,,,,,
sliced cheese,soda,,,,,,,,,
pork,whole milk,,,,,,,,,
citrus fruit,jam,,,,,,,,,
bottled water,specialty bar,curd,,,,,,,,
tropical fruit,candy,,,,,,,,,
whole milk,beef,rolls/buns,curd,white bread,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
pot plants,shopping bags,,,,,,,,,
bottled beer,whole milk,cream cheese ,,,,,,,,
frozen meals,dental care,,,,,,,,,
oil,soda,,,,,,,,,
pip fruit,onions,frozen fish,meat,semi-finished bread,root vegetables,bottled water,whipped/sour cream,,,
jam,house keeping products,,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
citrus fruit,whole milk,,,,,,,,,
mustard,flour,,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
frozen vegetables,berries,whole milk,candy,,,,,,,
other vegetables,bottled beer,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
butter,other vegetables,yogurt,,,,,,,,
sausage,white bread,coffee,,,,,,,,
margarine,chocolate,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
sausage,whole milk,margarine,,,,,,,,
fish,yogurt,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
soda,root vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,pastry,,,,,,,,,
root vegetables,rolls/buns,whole milk,frozen vegetables,whole milk,specialty chocolate,seasonal products,,,,
beef,sugar,root vegetables,frozen vegetables,,,,,,,
whole milk,whole milk,,,,,,,,,
waffles,pasta,,,,,,,,,
beef,male cosmetics,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
onions,canned beer,flower (seeds),,,,,,,,
bottled beer,pip fruit,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
beef,curd,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
pip fruit,salty snack,yogurt,,,,,,,,
whole milk,butter,,,,,,,,,
frankfurter,margarine,,,,,,,,,
tropical fruit,UHT-milk,candy,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
yogurt,berries,onions,pip fruit,,,,,,,
rolls/buns,tidbits,,,,,,,,,
sausage,sausage,pip fruit,sliced cheese,root vegetables,butter milk,,,,,
pork,white bread,domestic eggs,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
beverages,newspapers,newspapers,pastry,,,,,,,
liqueur,yogurt,,,,,,,,,
whole milk,butter,newspapers,chewing gum,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
meat,whole milk,,,,,,,,,
pip fruit,butter,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
cling film/bags,canned vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
beef,root vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
fish,soda,bottled beer,bottled beer,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
specialty chocolate,brandy,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
berries,other vegetables,,,,,,,,,
yogurt,whole milk,fruit/vegetable juice,,,,,,,,
whole milk,soda,,,,,,,,,
pastry,yogurt,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
sausage,chicken,whipped/sour cream,sparkling wine,,,,,,,
other vegetables,bottled water,,,,,,,,,
berries,bottled beer,,,,,,,,,
canned beer,white bread,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
frozen potato products,chocolate marshmallow,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
soda,soda,pip fruit,popcorn,soda,pasta,whole milk,dental care,,,
whole milk,pasta,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
berries,onions,,,,,,,,,
shopping bags,chocolate,,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
butter,butter,,,,,,,,,
dog food,white bread,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
frozen meals,newspapers,,,,,,,,,
whole milk,root vegetables,canned vegetables,,,,,,,,
pickled vegetables,hard cheese,,,,,,,,,
pip fruit,herbs,other vegetables,,,,,,,,
other vegetables,whole milk,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
pastry,yogurt,,,,,,,,,
beef,soda,,,,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
sausage,other vegetables,tropical fruit,mayonnaise,,,,,,,
frankfurter,processed cheese,,,,,,,,,
bottled water,yogurt,whipped/sour cream,,,,,,,,
curd,whole milk,,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
butter,photo/film,,,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
ham,soda,,,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
tropical fruit,grapes,,,,,,,,,
citrus fruit,whole milk,chocolate,,,,,,,,
oil,bottled water,,,,,,,,,
whole milk,pasta,whipped/sour cream,,,,,,,,
beef,spread cheese,cake bar,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
berries,coffee,margarine,,,,,,,,
frozen meals,root vegetables,cat food,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
chicken,herbs,soda,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
pip fruit,sausage,pip fruit,shopping bags,,,,,,,
ice cream,hygiene articles,,,,,,,,,
white bread,tropical fruit,,,,,,,,,
beef,other vegetables,,,,,,,,,
beverages,sugar,,,,,,,,,
pip fruit,beverages,,,,,,,,,
whole milk,domestic eggs,bottled beer,bottled beer,,,,,,,
onions,berries,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
chicken,whisky,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
margarine,sugar,,,,,,,,,
butter,softener,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
detergent,butter,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
frankfurter,coffee,,,,,,,,,
tropical fruit,soda,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
rolls/buns,hard cheese,rolls/buns,flour,,,,,,,
napkins,dishes,,,,,,,,,
chicken,pip fruit,,,,,,,,,
pork,light bulbs,waffles,,,,,,,,
pip fruit,soda,,,,,,,,,
berries,yogurt,,,,,,,,,
onions,soda,,,,,,,,,
butter,butter,margarine,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
ham,yogurt,,,,,,,,,
soda,beef,,,,,,,,,
sparkling wine,cream cheese ,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
yogurt,bottled beer,rolls/buns,yogurt,sugar,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
canned beer,long life bakery product,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
sausage,sliced cheese,yogurt,pastry,hygiene articles,,,,,,
sausage,yogurt,,,,,,,,,
curd,zwieback,,,,,,,,,
bottled water,curd,,,,,,,,,
pork,long life bakery product,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pork,canned beer,,,,,,,,,
specialty bar,canned beer,,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
beverages,soda,,,,,,,,,
soda,napkins,,,,,,,,,
frozen meals,detergent,,,,,,,,,
tropical fruit,pot plants,shopping bags,sugar,,,,,,,
white bread,hamburger meat,pastry,frozen meals,,,,,,,
pork,pastry,,,,,,,,,
berries,rolls/buns,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
frankfurter,beef,,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
chicken,pastry,,,,,,,,,
fish,whole milk,,,,,,,,,
bottled water,long life bakery product,soda,,,,,,,,
bottled water,grapes,,,,,,,,,
pastry,shopping bags,,,,,,,,,
coffee,softener,,,,,,,,,
hamburger meat,curd,,,,,,,,,
sausage,whole milk,long life bakery product,UHT-milk,flour,chocolate,,,,,
sausage,other vegetables,mayonnaise,seasonal products,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
detergent,newspapers,other vegetables,ketchup,,,,,,,
beef,pot plants,frozen meals,,,,,,,,
pip fruit,onions,yogurt,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
rolls/buns,canned beer,bottled beer,ham,hamburger meat,pickled vegetables,salty snack,domestic eggs,soda,,
pastry,cereals,,,,,,,,,
tropical fruit,root vegetables,pip fruit,butter milk,waffles,bottled beer,,,,,
onions,dish cleaner,,,,,,,,,
tropical fruit,salt,,,,,,,,,
meat,soda,,,,,,,,,
sweet spreads,male cosmetics,,,,,,,,,
bottled water,ice cream,,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
misc. beverages,onions,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
other vegetables,brown bread,,,,,,,,,
soda,pickled vegetables,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
oil,cake bar,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
meat,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
rolls/buns,white bread,,,,,,,,,
tropical fruit,pot plants,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
other vegetables,napkins,,,,,,,,,
brown bread,yogurt,,,,,,,,,
pastry,seasonal products,butter,bottled beer,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
bottled water,soda,,,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
hard cheese,root vegetables,white bread,,,,,,,,
white bread,rolls/buns,whipped/sour cream,,,,,,,,
cream cheese ,frozen vegetables,pastry,bottled beer,,,,,,,
meat,whipped/sour cream,,,,,,,,,
coffee,coffee,,,,,,,,,
other vegetables,pot plants,,,,,,,,,
margarine,soda,UHT-milk,,,,,,,,
chicken,misc. beverages,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
whole milk,soda,whipped/sour cream,dessert,,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
beef,frozen vegetables,,,,,,,,,
berries,shopping bags,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
onions,waffles,,,,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
butter milk,spices,,,,,,,,,
curd cheese,other vegetables,herbs,fruit/vegetable juice,zwieback,,,,,,
rolls/buns,waffles,,,,,,,,,
rolls/buns,soda,chocolate,,,,,,,,
root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
yogurt,baking powder,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
beverages,yogurt,,,,,,,,,
sausage,whole milk,,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
pork,other vegetables,,,,,,,,,
other vegetables,pip fruit,dessert,red/blush wine,,,,,,,
hamburger meat,pasta,,,,,,,,,
UHT-milk,ice cream,specialty bar,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
butter,whole milk,,,,,,,,,
ham,other vegetables,,,,,,,,,
frozen potato products,rolls/buns,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
rolls/buns,citrus fruit,pot plants,yogurt,roll products ,fruit/vegetable juice,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
frankfurter,female sanitary products,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
sugar,napkins,,,,,,,,,
whole milk,cat food,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
whole milk,detergent,,,,,,,,,
whole milk,margarine,,,,,,,,,
other vegetables,soda,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
pip fruit,processed cheese,yogurt,,,,,,,,
hamburger meat,root vegetables,fruit/vegetable juice,,,,,,,,
butter milk,margarine,,,,,,,,,
meat,pot plants,canned vegetables,,,,,,,,
root vegetables,canned beer,tropical fruit,rolls/buns,,,,,,,
citrus fruit,bottled water,pastry,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
berries,sliced cheese,,,,,,,,,
pork,dental care,,,,,,,,,
chicken,roll products ,,,,,,,,,
yogurt,chicken,UHT-milk,bottled water,,,,,,,
pork,butter,,,,,,,,,
curd,yogurt,domestic eggs,,,,,,,,
bottled water,soda,soda,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
canned beer,whole milk,other vegetables,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
sausage,pot plants,,,,,,,,,
whole milk,newspapers,,,,,,,,,
whole milk,roll products ,,,,,,,,,
sausage,dessert,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
white wine,cream cheese ,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
white bread,whipped/sour cream,frozen dessert,pastry,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
root vegetables,dish cleaner,,,,,,,,,
whole milk,domestic eggs,long life bakery product,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
napkins,yogurt,,,,,,,,,
root vegetables,root vegetables,citrus fruit,cat food,,,,,,,
whole milk,curd,,,,,,,,,
sausage,bathroom cleaner,,,,,,,,,
chicken,brown bread,,,,,,,,,
napkins,white bread,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
chicken,herbs,,,,,,,,,
frankfurter,other vegetables,soda,,,,,,,,
soda,soda,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
sausage,pork,,,,,,,,,
citrus fruit,rolls/buns,canned fish,,,,,,,,
soda,bottled water,whole milk,other vegetables,hygiene articles,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,pork,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
pork,root vegetables,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
brown bread,soda,butter,shopping bags,,,,,,,
soda,salty snack,,,,,,,,,
meat spreads,bottled beer,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
sausage,onions,,,,,,,,,
whole milk,bottled water,,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
white bread,brown bread,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
other vegetables,tropical fruit,pastry,citrus fruit,curd,soda,whole milk,detergent,syrup,,
tropical fruit,root vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
root vegetables,curd,waffles,,,,,,,,
margarine,long life bakery product,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
citrus fruit,white bread,,,,,,,,,
soda,soda,,,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
ham,whole milk,,,,,,,,,
bottled water,other vegetables,vinegar,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,hygiene articles,pot plants,soda,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,sauces,hard cheese,,,,,,,,
whole milk,napkins,,,,,,,,,
beverages,other vegetables,,,,,,,,,
other vegetables,flower (seeds),,,,,,,,,
root vegetables,whole milk,,,,,,,,,
newspapers,coffee,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
frankfurter,sugar,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
sausage,salt,,,,,,,,,
soda,cling film/bags,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
other vegetables,canned beer,newspapers,,,,,,,,
pork,canned beer,rolls/buns,yogurt,mustard,oil,popcorn,whipped/sour cream,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
citrus fruit,soda,butter,hard cheese,,,,,,,
chicken,coffee,newspapers,,,,,,,,
canned beer,yogurt,,,,,,,,,
sausage,hamburger meat,other vegetables,,,,,,,,
citrus fruit,soda,,,,,,,,,
whole milk,spread cheese,popcorn,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
pip fruit,grapes,,,,,,,,,
other vegetables,soda,,,,,,,,,
newspapers,white bread,rolls/buns,beverages,,,,,,,
sausage,whole milk,misc. beverages,specialty bar,soda,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
pastry,root vegetables,,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
bottled water,processed cheese,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
bottled water,shopping bags,soda,flour,,,,,,,
beef,salty snack,,,,,,,,,
ham,other vegetables,,,,,,,,,
pastry,bottled water,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
frankfurter,dessert,,,,,,,,,
sausage,shopping bags,light bulbs,,,,,,,,
misc. beverages,hard cheese,herbs,sugar,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
bottled water,onions,,,,,,,,,
sausage,bottled water,whole milk,,,,,,,,
pork,sweet spreads,,,,,,,,,
pip fruit,newspapers,fruit/vegetable juice,,,,,,,,
long life bakery product,butter,rolls/buns,newspapers,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
grapes,onions,,,,,,,,,
female sanitary products,whole milk,hygiene articles,,,,,,,,
rolls/buns,cereals,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
bottled water,soda,,,,,,,,,
citrus fruit,whole milk,bottled water,roll products ,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
ham,whole milk,,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
whole milk,chicken,,,,,,,,,
other vegetables,candy,,,,,,,,,
fruit/vegetable juice,butter,brown bread,dental care,,,,,,,
frankfurter,pork,rolls/buns,grapes,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
rolls/buns,yogurt,,,,,,,,,
sausage,white bread,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
canned beer,whole milk,,,,,,,,,
soda,flour,,,,,,,,,
long life bakery product,soda,soda,,,,,,,,
pork,white wine,,,,,,,,,
sausage,berries,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
sausage,roll products ,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
canned beer,coffee,,,,,,,,,
yogurt,shopping bags,cake bar,yogurt,,,,,,,
pip fruit,root vegetables,,,,,,,,,
root vegetables,oil,,,,,,,,,
chicken,yogurt,,,,,,,,,
chocolate,yogurt,,,,,,,,,
fish,meat,,,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
sausage,whipped/sour cream,specialty bar,,,,,,,,
brown bread,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
soda,cream cheese ,,,,,,,,,
other vegetables,Instant food products,sugar,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
hard cheese,butter,,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
pork,coffee,,,,,,,,,
tropical fruit,dental care,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
whole milk,soda,soda,,,,,,,,
hamburger meat,pip fruit,dish cleaner,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
canned beer,whole milk,,,,,,,,,
berries,grapes,other vegetables,,,,,,,,
sugar,waffles,soda,organic products,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
tropical fruit,berries,,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
brown bread,yogurt,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
pork,ice cream,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
pork,processed cheese,beef,white wine,soda,packaged fruit/vegetables,sliced cheese,beverages,,,
frankfurter,other vegetables,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
